制作公司（母）,子分类,游戏名称,游戏译名,发售日,汉化组,汉化进度,备注,DL推荐,官网,其他网址
ALcot,ALcot（アルコット）,中の人などいない！ トーキョー?ヒーロー?プロジェクト,隱名之人！TOKYO·HERO·PROJECT,2012/8/31,loli-time漢化組,漢化完成,Ver0.9,,,
ALcot,,将軍様はお年頃,將軍大人芳華正茂,2018/1/26,默示中文化興趣小組,漢化完成,,,,
ALcot,,将軍様はお年頃 ふぁんでぃすく -御三家だヨ！ 全員集合-,將軍大人正值妙齡 FD,2019/3/29,希月學園漢化組,漢化完成,,,,
ALcot,,よめがみ Ｍｙ Ｓｗｅｅｔ Ｇｏｄｄｅｓｓ！,神嫁～我的甜心女神！,2016/11/25,心願屋漢化組,漢化完成,,,,
ALcot,,LOVEREC.,心跳攝影.,2015/6/26,默示中文化興趣小組,漢化完成,,,,
ALcot,,LOVEREC. －ミニシアターズ－,心跳攝影.-迷你劇場-,2016/1/29,默示中文化興趣小組,漢化完成,,,,
,,,,,,,,,,
Alcot Honey Comb,ALcot シトラス,死神の接吻は別離の味,死神之吻乃離別之味,2009/4/24,GMH中文化委員會&冥月漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,リアル妹がいる大泉くんのばあい,實妹相伴的大泉君,2010/5/28,妹乃萌漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,キッキングホース★ラプソディ,踢馬狂想曲,2010/11/26,PRO2漢化組,漢化中,估計已棄坑,,,
Alcot Honey Comb,,春季限定ポコ?ア?ポコ！,春季限定～PoCo·A·PoCo～,2011/11/25,心願屋漢化組 / 冥月漢化組,漢化完成,,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,1/2 summer,1/2 summer,2012/6/29,H5&臉腫漢化組,漢化完成,接坑自半夏同友會,,,
Alcot Honey Comb,ALcot Honey comb（アルコット ハニカム）,あえて無視するキミとの未来 ～Relay broadcast～,硬是要無視與你的未來 ～Relay broadcast～,2012/11/30,綠南廣播部 (隸屬Makura Castle),漢化完成,,,,
Alcot Honey Comb,,サツコイ～悠久なる恋の歌～,殺戀～悠久流傳的戀之歌～,2014/8/29,殺戀漢化委員會,漢化完成,,,,
Alcot Honey Comb,,キミのとなりで恋してる！,慕情之心今隨君作伴,2014/11/28,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,キミのとなりで恋してる！ -THE RESPECTIVE HAPPINESS-,慕情之心今随君作伴 ~The Respective Happiness~,2015/11/27,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,そして初恋が妹になる,緣契初情乃今家舍妹,2016/5/27,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,茜色の境界線,茜色的境界线,2017/6/30,默示漢化組,漢化完成,,,,
Alcot Honey Comb,,彼女は天使で妹で,伊人天使妹側畔,2017/10/27,默示漢化組,漢化完成,,,,
,,,,,,,,,,
ALICESOFT,,RanceVI－ゼス崩壊－,蘭斯6 -傑斯崩壞-,2004/8/27,愛麗絲X哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,戦国ランス,戰國蘭斯,2006/12/15,愛麗絲漢化組,漢化完成,,,,
ALICESOFT,,ランスII　－反逆の少女たち－,蘭斯2 反叛的少女們,2009/12/18,愛麗絲漢化組,漢化完成,收錄於《アリス2010》,,,
ALICESOFT,,ランス01 光をもとめて,蘭斯01 尋找小光,2013/9/27,哈尼喵漢化組 x BSYUA愛護會,漢化完成,,,,
ALICESOFT,,ランス9 ヘルマン革命,蘭斯9 赫爾曼革命,2014/4/25,個人漢化,漢化完成,,,,
ALICESOFT,,ランス03 リーザス陥落,蘭斯03 利澤斯陷落,2015/8/28,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,ランス5D －ひとりぼっちの女の子－,蘭斯5D 孤單的女孩子,2002/10/25,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,ランス?クエスト,Rance quest (蘭斯8),2011/8/26,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,ランス10,蘭斯10 決戰,2018/2/23,ALICESOFT,官方中文化,,https://www.dlsite.com/pro/work/=/product_id/VJ013573.html/,,
ALICESOFT,,はるうられ -校内赤線区域-,校内赤线区,2009/12/18,愛麗絲漢化組,漢化完成,收錄於《アリス2010》,,,
ALICESOFT,,超昂神騎エクシール,超昂神骑爱克希尔,2017/7/28,哈尼喵漢化組,漢化中,,,,
ALICESOFT,,妻しぼり,,2006/8/4,心願屋漢化組,漢化完成,,,,
ALICESOFT,,妻みぐい,妻中蜜,2002/3/15,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,妻みぐい3,妻中蜜3,2016/1/29,哈尼喵漢化組,部分漢化,Ver0.8,,,
ALICESOFT,,母娘乱館,母娘乱館,2012/9/28,九頭喵漢化組 X SS同盟,漢化完成,,,,
ALICESOFT,,GALZOOアイランド,GALZOO島,2005/12/9,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,大番長－Big Bang Age－,大番長－Big Bang Age－,2003/12/19,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,大帝国,大帝国,2011/4/28,大帝國貼吧漢化組 X KingCore漢化組 / 聖☆萌奈帝國漢化組,漢化完成,,,,
ALICESOFT,,イブニクル,夏娃年代記,2015/4/24,哈尼喵漢化組,漢化完成,,,,
ALICESOFT,,イブニクル2,夏娃年代記2,2019/2/22,天之聖杯漢化組,漢化完成,,,,
,,,,,,,,,,
ASa Project,,アッチむいて恋,轉角之戀,2010/4/30,萌櫻漢化組,部分漢化,估計已棄坑,,,
ASa Project,,恋愛0キロメートル,戀愛0公里,2011/10/28,G吧漢化組,漢化完成,,,,
ASa Project,,ひとつ飛ばし恋愛,間接之戀,2013/4/26,個人漢化 / 果園漢化組,漢化完成,Ver0.98,,,
ASa Project,,スキとスキとでサンカク恋愛,青春×好奇相伴的三角戀愛,2016/11/25,默示遊戲中文化興趣小組,漢化完成,,,,
ASa Project,,かりぐらし恋愛,寄宿之戀,2018/3/30,靴下漢化組,漢化完成,,,,
ASa Project,,恋愛、借りちゃいました,想談戀愛嗎？那就給錢吧,2019/7/26,默示遊戲中文化興趣小組,漢化完成,,,,
,,,,,,,,,,
Applique soft（あっぷりけ）,,黄昏のシンセミア,黃昏的禁忌之藥,2010/7/22,妹乃萌漢化組,漢化完成,,,,
Applique soft（あっぷりけ）,,Re：birth colony -Lost azurite-,Re：birth colony -Lost azurite-,2012/9/28,楓之音漢化組,部分漢化,估計已棄坑,,,
Applique soft（あっぷりけ）,,時を紡ぐ約束,編織時間的約定,2016/3/25,清隆漢化組,漢化完成,,,,
Applique soft（あっぷりけ）,,月影のシミュラクル,月影魅像-解放之羽-,2017/1/27,        Hikari Field / 臉腫漢化組,官方中文化,,https://store.steampowered.com/app/1069230/,,
,,,,,,,,,,
?ge（アージュ）,,君が望む永遠,你所期望的永遠,2001/8/3,木之個人漢化 / KFC風鈴工作室,漢化完成,,,,
?ge（アージュ）,,マブラヴ,Muv-Luv,2003/2/28,Sekai Project / Alternative6籌備委員會&杏子御津愛護同好會,官方中文化,,https://store.steampowered.com/app/802880/,,
?ge（アージュ）,,マブラヴ オルタネイティヴ,Muv-Luv Alternative,2006/2/24,Sekai Project / Alternative6籌備委員會&杏子御津愛護同好會,官方中文化,,https://store.steampowered.com/app/802890/,,
,,,,,,,,,,
AXL,,恋する乙女と守護の楯,戀愛少女與守護之盾,2007/6/29,言葉黨漢化組&指尖奶茶應援會,漢化完成,,,,
,,,,,,,,,,
Atelier KAGUYA（アトリエかぐや）,,瀬里奈,瀬裏奈,2004/7/23,心願屋漢化組,漢化中,估計已棄坑,,,
Atelier KAGUYA（アトリエかぐや）,,さくら色カルテット,櫻色四重奏,2011/4/8,AUGUST中文化委員會,漢化完成,,,,
Atelier KAGUYA（アトリエかぐや）,,禁断の病棟～特殊精神科医 遊佐惣介の診察記録～,,2011/7/29,個人漢化,漢化完成,,,,
Atelier KAGUYA（アトリエかぐや）,,ままごと ～ママとないしょのエッチしましょ～,,2019/11/29,心願屋漢化組,漢化完成,,,,
,,,,,,,,,,
Astronauts Comet （アストロノーツ?コメット）,,付喪女?あおゑ,付丧女,2014/10/24,默示遊戲中文化興趣小組,漢化完成,,,,
Astronauts Comet （アストロノーツ?コメット）,,憑夜ノ村,凭夜之村,2014/11/28,臉腫漢化組 / 默示遊戲中文化興趣小組,漢化完成,,,,
Astronauts Comet （アストロノーツ?コメット）,,塔の下のエクセルキトゥス,瓦爾維倫之塔,2015/8/28,默示漢化組 (心願屋),漢化完成,,,,
Astronauts Comet （アストロノーツ?コメット）,,アリスティア?リメイン,懷想·史詩,2016/7/29,默示遊戲中文化興趣小組,漢化完成,,,,
ASTRONAUTS SIRIUS,,デモニオン ～魔王の地下要塞～,DEMONION～魔王的地下要塞～,2012/4/27,心願屋漢化組,漢化完成,,,,
ASTRONAUTS SIRIUS,,ウルスラグナ ～征戦のデュエリスト～,烏魯斯拉格納~征戰的決鬥者~,2015/4/24,待補,部分漢化,,,,
,,,,,,,,,,
Atelier Sakura（アトリエさくら）,,愛する妻の穴は他人の穴だった…… 美尻を差しだし、兄貴の肉棒をおねだりする淫ら妻,愛妻淪為他人之物,2013/2/22,臉腫漢化組,漢化完成,,,,
Atelier Sakura（アトリエさくら）,,Remember 最愛の妻が他の男の腕の中で微笑む、もう一つのIF,,2012/3/23,心願屋漢化組,漢化完成,,,,
Atelier Sakura（アトリエさくら）,,つるぺた×NTR ～幼なじみ彼女の3年間の調教記録～,,2013/7/26,心願屋漢化組,漢化完成,,,,
Atelier Sakura（アトリエさくら）,,貸し出し妻、満里奈の“ネトラセ”報告 敏感妻と絶倫大学生,,2013/9/27,個人漢化,漢化完成,,,,
Atelier Sakura（アトリエさくら）,,親友に抱かれる俺の妻,好友的懷中正抱著我的妻子,2019/1/25,個人漢化,漢化完成,,,,
,,,,,,,,,,
BaseSon,,恋姫?無双～ドキッ★乙女だらけの三国志演義～,戀姬?無雙 ～心跳☆滿是少女的三國演義～,2007/1/26,AUGUST中文化委員會,漢化完成,,,,
BaseSon,,真?恋姫?無双～乙女繚乱☆三国志演義～,真戀姬無雙,2008/12/26,Koihime漢化組 x 心願屋漢化組 / 幻翼之戀漢化組 / 無名漢化組,漢化完成,,,,
BaseSon Light,,きみはね 彼女と彼女の恋する１ヶ月,君羽 她與她相戀的一個月,2015/1/23,白衣漢化組,漢化完成,,,,
BaseSon Light,,きみはね Couples ～彼女と彼女の恋する二ヶ月ちょっと～,君羽Couples ～她和她相戀的兩個月多一點～,2019/1/25,白衣漢化組,漢化完成,,,,
,,,,,,,,,,
BROCCOLI（ブロッコリー）,,デ?ジ?キャラット ファンタジー,Di Gi Charat Fantasy ~仲夏夜之夢~,2001/2/22,TGL,官方中文化,,,,
BROCCOLI（ブロッコリー）,,新世紀エヴァンゲリオン 綾波育成計画,新世紀福音戰士：凌波育成計劃DS With 明日香補完計劃,2001/5/18,3DM&ACG漢化組,漢化完成,,,,
BROCCOLI（ブロッコリー）,,ギャラクシーエンジェル Moonlit Lovers,銀河天使 月夜情人,2003/8/22,智冠科技,官方中文化,,,,
BROCCOLI（ブロッコリー）,,ギャラクシーエンジェル Eternal Lovers,銀河天使 永恆情人,2004/8/20,光譜資訊,官方中文化,,,,
BROCCOLI（ブロッコリー）,,プリンセスコンチェルト,公主協奏曲,2005/8/26,PRO2漢化組,漢化完成,,,,
BROCCOLI（ブロッコリー）,,クロスワールド－見知らぬ空のエターティア－,魔法少女未知的天空艾塔提亞,2005/10/21,光譜資訊,官方中文化,,,,
,,,,,,,,,,
BISHOP,,学園3～華麗なる悦辱～,,2010/8/27,個人漢化,漢化完成,,,,
BISHOP,,支配の教壇,,2018/6/29,個人漢化,漢化完成,,,,
BISHOP,,家属～母と姉妹の嬌声～,,2019/9/27,個人漢化,漢化完成,,,,
BISHOP,,支配の教壇II,,2020/5/29,個人漢化,漢化完成,,,,
,,,,,,,,,,
Black Lilith,,対魔忍アサギ,對魔忍阿莎姬,2005/10/25,Infini Brain / 阿黑顏大姐頭漢化組,漢化完成,中文化進行中,,,
Black Lilith,,対魔忍アサギ外伝～カオス?アリーナ編～,對魔忍阿莎姬 外傳,2006/1/13,阿黑顏大姐頭漢化組,漢化完成,,,,
Black Lilith,,鋼鉄の魔女アンネローゼ,,2010/4/30,個人漢化,漢化完成,,,,
Black Lilith,,対魔忍ユキカゼ,,2011/9/23,Infini Brain,中文化進行中,,,,
Black Lilith,,陰陽騎士トワコ ～蛇神の淫魔調教～,,2013/8/30,個人漢化,漢化完成,,,,
Anime Lilith,,監獄戦艦～非道の洗脳改造航海～,,2007/3/30,個人漢化,漢化完成,,,,
Anime Lilith,,監獄戦艦2～要塞都市の洗脳改造～,,2010/7/30,個人漢化,漢化完成,,,,
Anime Lilith,,監獄戦艦3 ～熱砂の洗脳航路～,,2013/12/30,個人漢化,漢化完成,,,,
,,,,,,,,,,
BUG SYSTEM（バグシステム）,,死に逝く君、館に芽吹く憎悪,瀕死輪迴的卿於館中萌生的憎惡,2016/7/29,默示遊戲中文化興趣小組,漢化完成,,,,
BUG SYSTEM（バグシステム）,,スクイの小夜曲,救贖的小夜曲,2015/6/26,心願屋漢化組,漢化完成,,,,
BUG SYSTEM（バグシステム）,,ヘイズマン -THE LOCAL HERO-,大地俠,2017/9/29,默示遊戲中文化興趣小組,漢化完成,,,,
BUG SYSTEM（バグシステム）,,真愛の百合は赤く染まる,赤染真愛百合,2019/11/29,待補,漢化中,,,,
,,,,,,,,,,
Caramel box（キャラメルBOX）,,処女はお姉さまに恋してる,少女愛上姐姐,2005/1/28,瑞穗姐姐推廣協會/WLGO,漢化完成,,,,
Caramel box（キャラメルBOX）,,処女はお姉さまに恋してる　2人のエルダー,少女愛上姐姐2 兩人的姐姐,2010/6/30,IACG漢化組 + A·T Field漢化組(ATF) + 蘇帕爾莎漢化組(SPES),漢化完成,,,,
Caramel box（キャラメルBOX）,,処女はお姉さまに恋してる 3つのきら星,少女愛上姐姐3 三顆閃爍的星,2018/2/23,待補,漢化中,,,,
,,,,,,,,,,
CIRCUS（サーカス）,D.C.系列,D.C.～ダ?カーポ～,初音島,2002/6/28,月櫻華想漢化組＆神櫻中文化翻譯社＆妹乃萌漢化組,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.III ～ダ?カーポIII～,初音島3,2004/5/28,待補,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.II～ダ?カーポII～,,2006/5/26,蘑菇漢化組,漢化完成,,,,
CIRCUS（サーカス）,,D.C.II ～featuring YUN2!～,,2006/11/7,待補,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.II Spring Celebration,,2007/4/27,蘑菇漢化組,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.II P.C.～ダ?カーポII～プラスコミュニケーション,,2008/12/26,待補,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.II To You～ダ?カーポII～トゥーユー,,2009/6/26,神櫻中文化翻譯社,漢化完成,,,,
CIRCUS（サーカス）,D.C.系列,D.C.II Fall in Love～ダ?カーポII～フォーリンラブ,,2009/12/18,珍愛&朝露 聯合漢化,漢化中,估計已棄坑,,,
CIRCUS（サーカス）,,T.P.さくら～タイムパラディンさくら～,,2011/1/27,個人漢化,漢化完成,類似機翻品質,,,
CIRCUS（サーカス）,D.C.系列,ことり Love Ex P,,2010/4/23,個人漢化,部分漢化,已棄坑,,,
CIRCUS（サーカス）,D.C.系列,D.C.III～ダ?カーポIII～,,2012/4/27,蘑菇漢化組,部分漢化,Ver0.8除H部分外全線漢化,,,
CIRCUS（サーカス）,,D.C.III P.P. ～ダ?カーポIII プラチナパートナー～,,2014/4/25,CKZG漢化組,漢化中,,,,
CIRCUS（サーカス）,,D.S. -Dal Segno-,,2016/4/28,蒲島水壩漢化組,漢化中,,,,
CIRCUS（サーカス）,Other (CIRCUS),水夏~SUIKA~,,2004/9/24,輕萌工作組(遊戲分部),漢化完成,,,,
CIRCUS（サーカス）,Other (CIRCUS),SAKURA～雪月華～ 花鳥風月プレミアムエディション,,2005/5/27,PRO2漢化組,漢化完成,,,,
CIRCUS（サーカス）,Other (CIRCUS),ＴｒｕｅＷｏｒｌｄ～真実のセカイ～,真實的世界,2006/11/10,風鈴漢化組,漢化完成,,,,
CIRCUS（サーカス）,Other (CIRCUS),空色紙ヒコーキ,夏色的紙飛機,2009/12/9,羅莊大師漢化,漢化完成,待補,,,
CIRCUS（サーカス）,Other (CIRCUS),けい☆てん,,2010/8/27,個人漢化,漢化完成,製作公司為k-ten,,,
,,,,,,,,,,
CUFFS（CUBE）,,間宮くんちの五つ子事情,間宮家的五胞胎事情,2016/2/26,個人漢化,漢化中,僅體驗版漢化,,,
CUFFS（CUBE）,CUBE,夏ノ雨,夏之雨,2009/9/25,姐之雨填坑大隊,漢化完成,,,,
CUFFS（CUBE）,CUBE,your diary,妳的日記,2011/9/30,HOBIBOX / pikapi遊戲漢化組,官方中文化,,https://store.steampowered.com/app/761700/,,
CUFFS（CUBE）,,your diary ＋H,妳的日記 + H,2014/5/30,HOBIBOX / 空穴來風漢化組(frompikapi遊戲漢化組),官方中文化,,https://store.steampowered.com/app/761700//,,
CUFFS（CUBE）,CUBE,倉野くんちのふたご事情,倉野家的雙胞胎故事,2012/11/30,臉腫漢化組,漢化完成,,,,
CUFFS（CUBE）,,ゆらめく心に満ちた世界で、君の夢と欲望は叶うか,三千心世界，夢終將實現,2017/11/24,默示漢化組,漢化完成,,,,
CUFFS（CUBE）,,神様のような君へ,獻給神明般的你,2020/3/27,綠茶漢化組,漢化完成,Ver0.9,,,
CUFFS,CUFFS,CAFE SOURIRE,CAFE SOURIRE,2011/6/24,臉腫漢化組,漢化完成,,,,
CUFFS（Sphere）,Sphere（スフィア）,ヨスガノソラ,緣之空,2008/12/5,Sphere中文化委員會,漢化完成,,,,
CUFFS（Sphere）,Sphere（スフィア）,ハルカナソラ,悠之空,2009/9/25,Sphere中文化委員會,漢化完成,,,,
CUFFS（Sphere）,Sphere（スフィア）,イモウトノカタチ,妹之形,2012/8/31,三輝漢化組 / Sphere中文化委員會,漢化完成,,,,
CUFFS（Sphere）,Sphere（スフィア）,Berry’s,Berry’s,2013/6/28,Sphere中文化委員會,待補,估計已棄坑,,,
,,,,,,,,,,
Cabbit（キャビット）,,翠の海,翠之海,2011/10/28,SakuraGame / 萌羊附屬打樁神教 / KFC風鈴工作室,官方中文化,,https://store.steampowered.com/app/925470/,,
Cabbit（キャビット）,,キミへ贈る、ソラの花,贈予你的空之花,2012/12/21,萌羊漢化組,漢化完成,,,,
Cabbit（キャビット）,,箱庭ロジック,箱庭邏輯,2014/10/31,SakuraGame / Nukige 抜きゲ,官方中文化,,https://store.steampowered.com/app/943980/,,
Cabbit（キャビット）,,箱庭ロジック ～瑚子のいちゃらぶSM生活～,箱庭邏輯 FD,2016/6/24,個人漢化,漢化完成,,,,
,,,,,,,,,,
Campus,,ハルウソ -Passing Memories-,春天的謊言,2015/11/27,天之聖杯漢化組,漢化完成,,,,
Campus,,ナツウソ -Ahead of the reminiscence-,夏天的謊言,2016/4/22,天之聖杯漢化組,漢化完成,,,,
Campus,,アキウソ -The only neat thing to do-,秋天的謊言,2016/11/25,天之聖杯漢化組,漢化完成,,,,
Campus,,不運と幸運と恋占いのタロット,命運交織的塔羅牌,2017/1/27,白井木學園漢化組,漢化完成,,,,
Campus,,初恋＊シンドローム,初戀症候群,2017/4/28,綠茶漢化組,漢化完成,,,,
Campus,,フユウソ -Snow World End-,冬天的謊言,2017/7/28,天之聖杯漢化組,漢化完成,,,,
Campus,,忘却執事と恋するお嬢様の回想録,忘卻管家與戀愛大小姐的回憶錄,2017/10/27,楓笛漢化組,漢化完成,,,,
Campus,,二人と始める打算的なラブコメ,圖謀不軌的戀愛,2018/5/25,天之聖杯漢化組,漢化完成,,,,
Campus,,その花が咲いたら、また僕は君に出逢う,在那花開之時再度與君相會,2018/9/28,伊甸學園,漢化中,,,,
Campus,,アマアネ -My Sweet Sister-,,2019/8/30,伊甸學園,漢化完成,,,,
,,,,,,,,,,
Clochette（クロシェット）,,はるるみなもに！,清澄如鏡之水面上!,2017/3/24,AUGUST中文化委員會,漢化完成,,,,
Clochette（クロシェット）,,カミカゼ☆エクスプローラー！,神風探索者,2011/5/27,AUGUST中文化委員會,漢化完成,,,,
,,,,,,,,,,
COSMIC CUTE,,LOVESICK PUPPIES -僕らは恋するために生まれてきた-,LOVESICK PUPPIES -我們為了戀愛而誕生-,2013/3/22,龍貓保護協會,漢化完成,,,,
COSMIC CUTE,,グリムガーデンの少女 -witch in gleamgarden-,格林花園的少女,2013/7/26,龍貓保護協會,漢化中,,,,
,,,,,,,,,,
COTTON SOFTWARE,,アンバークォーツ,琥珀結晶,2009/1/23,個人漢化,漢化完成,,,,
COTTON SOFTWARE,,双子座のパラドクス,雙子座的paradox,2013/6/28,心願屋漢化組,部分漢化,Ver0.1,,,
COTTON SOFTWARE,,終わる世界とバースデイ,終末世界與誕生日,2012/7/27,伊甸學園,漢化中,,,,
,,,,,,,,,,
Casket,,家神女房-イエガミニョウボウ- ～名無し猫又は神Tuber～,家有仙妻 - 無名小貓又與神Tuber,2018/11/30,白井木學園漢化組,漢化完成,,,,
Casket,,家神女房-イエガミニョウボウ- ～恋する因幡は金髪うさぎ～,家有神妻 - 戀上金發兔因幡,2019/6/28,守夜人漢化組,漢化完成,,,,
